entidad_res,entidadfed,mun_id,municipionombre2020,pctpobmenos2sm2020,defunciones2015,defunciones2016,defunciones2017,defunciones2018,defunciones2019,defunciones2020,defunciones2021,defunciones20_21,muertesavg_15_19,muertesesperadas2020,muertesesperadas2020_21,muertesenexceso20_21,pctexceso20_21
9,Ciudad de México,9002,Azcapotzalco,54.69,3229,3580,3417,3583,3450,5860,5690,11550,3452,3452,6904,4646,67.3
9,Ciudad de México,9003,Coyoacán,52.85,4288,4462,4438,4445,4663,7242,7027,14269,4459,4459,8918,5351,60.0
9,Ciudad de México,9004,Cuajimalpa de Morelos,47.95,917,964,972,982,1044,1862,1668,3530,976,976,1952,1578,80.9
9,Ciudad de México,9005,Gustavo A. Madero,58.57,8680,9075,9278,9664,9417,16232,15011,31243,9223,9223,18446,12797,69.4
9,Ciudad de México,9006,Iztacalco,56.76,3082,3141,3181,3269,3201,5741,5133,10874,3175,3175,6350,4524,71.3
9,Ciudad de México,9007,Iztapalapa,66.61,10405,10847,11167,11576,11733,21334,19384,40718,11146,11146,22291,18427,82.7
9,Ciudad de México,9008,La Magdalena Contreras,61.04,1397,1526,1485,1527,1559,2513,2387,4900,1499,1499,2998,1902,63.5
9,Ciudad de México,9009,Milpa Alta,72.97,690,722,723,723,789,1397,1322,2719,729,729,1459,1260,86.4
9,Ciudad de México,9010,Álvaro Obregón,49.34,4498,4548,4682,4899,5061,8128,7757,15885,4738,4738,9475,6410,67.6
9,Ciudad de México,9011,Tláhuac,65.39,1686,1853,1961,1912,2084,3757,3491,7248,1899,1899,3798,3450,90.8
9,Ciudad de México,9012,Tlalpan,61.19,3526,3740,3791,3874,3853,6456,6422,12878,3757,3757,7514,5364,71.4
9,Ciudad de México,9013,Xochimilco,67.44,2315,2511,2434,2563,2455,4587,4239,8826,2456,2456,4911,3915,79.7
9,Ciudad de México,9014,Benito Juárez,28.45,3160,3148,3092,3145,3242,4228,4493,8721,3157,3157,6315,2406,38.1
9,Ciudad de México,9015,Cuauhtémoc,41.39,5329,5376,4252,4286,4224,7008,6353,13361,4693,4693,9387,3974,42.3
9,Ciudad de México,9016,Miguel Hidalgo,47.57,2768,2926,2971,2925,2784,4456,4115,8571,2875,2875,5750,2821,49.1
9,Ciudad de México,9017,Venustiano Carranza,57.25,3424,3783,3678,3682,3735,6404,5842,12246,3660,3660,7321,4925,67.3
13,Hidalgo,13069,Tizayuca,67.54,380,478,545,537,545,1032,1121,2153,497,497,994,1159,116.6
15,México,15002,Acolman,60.76,522,525,545,602,608,957,1092,2049,560,560,1121,928,82.8
15,México,15013,Atizapán de Zaragoza,58.97,2384,2528,2512,2593,2808,4602,4579,9181,2565,2565,5130,4051,79.0
15,México,15020,Coacalco de Berriozábal,55.24,1298,1342,1474,1410,1660,2568,2722,5290,1437,1437,2874,2416,84.1
15,México,15024,Cuautitlán,54.95,481,532,591,547,584,1062,1010,2072,547,547,1094,978,89.4
15,México,15025,Chalco,68.81,1453,1527,1728,1761,1887,3143,3269,6412,1671,1671,3342,3070,91.8
15,México,15029,Chicoloapan,68.51,675,763,741,794,797,1510,1478,2988,754,754,1508,1480,98.1
15,México,15031,Chimalhuacán,72.70,2635,2922,3125,3084,3282,6112,5782,11894,3010,3010,6019,5875,97.6
15,México,15033,Ecatepec de Morelos,63.83,8784,9020,9296,9599,9937,17304,16779,34083,9327,9327,18654,15429,82.7
15,México,15035,Huehuetoca,65.12,401,421,408,503,520,954,1011,1965,451,451,901,1064,118.0
15,México,15037,Huixquilucan,64.35,1082,1143,1131,1190,1263,2070,1943,4013,1162,1162,2324,1689,72.7
15,México,15039,Ixtapaluca,67.78,1769,1876,2052,1986,2159,3949,3996,7945,1968,1968,3937,4008,101.8
15,México,15057,Naucalpan de Juárez,61.30,4862,5114,5111,5256,5331,9368,8553,17921,5135,5135,10270,7651,74.5
15,México,15058,Nezahualcóyotl,65.47,7134,7433,7535,7549,7752,13764,12530,26294,7481,7481,14961,11333,75.7
15,México,15060,Nicolás Romero,63.22,1657,1778,1887,1982,1974,3323,3309,6632,1856,1856,3711,2921,78.7
15,México,15070,La Paz,72.47,1163,1241,1203,1301,1382,2537,2332,4869,1258,1258,2516,2353,93.5
15,México,15081,Tecámac,61.66,1544,1709,1784,1846,1968,3495,3780,7275,1770,1770,3540,3735,105.5
15,México,15091,Teoloyucan,64.96,412,444,440,470,465,781,828,1609,446,446,892,717,80.3
15,México,15104,Tlalnepantla de Baz,58.70,4325,4561,4537,4655,4814,8015,7538,15553,4578,4578,9157,6396,69.9
15,México,15108,Tultepec,64.10,586,618,687,699,706,1238,1356,2594,659,659,1318,1276,96.8
15,México,15109,Tultitlán,60.84,2145,2312,2328,2448,2640,4715,4501,9216,2375,2375,4749,4467,94.1
15,México,15121,Cuautitlán Izcalli,49.34,2387,2496,2520,2681,2861,4852,4834,9686,2589,2589,5178,4508,87.1
15,México,15122,Valle de Chalco Solidaridad,73.69,1639,1718,1722,1667,1738,3438,3194,6632,1697,1697,3394,3238,95.4
